casename,codename,category,supercategory
22,Cisnormativity,Normative pressure,2
6,Cisnormativity,Normative pressure,2
10,Cisnormativity,Normative pressure,2
11,Cisnormativity,Normative pressure,2
12,Cisnormativity,Normative pressure,2
13,Cisnormativity,Normative pressure,2
11,Dysphoria,Mental health,
13,Dysphoria,Mental health,
13,Dysphoria,Mental health,
12,Misconceptions surrounding transidentity,Lack of knowledge,2
21,Misconceptions surrounding transidentity,Lack of knowledge,2
12,Misconceptions surrounding transidentity,Lack of knowledge,2
6,Misconceptions surrounding transidentity,Lack of knowledge,2
12,Misconceptions surrounding transidentity,Lack of knowledge,2
13,Unsupportive environment,Interpersonnal struggles,2
9,Unsupportive environment,Interpersonnal struggles,2
20,Unsupportive environment,Interpersonnal struggles,2
22,Unsupportive environment,Interpersonnal struggles,2
9,Unsupportive environment,Interpersonnal struggles,2
4,Lack of representation/role model,Social factors,
9,School dropout,Social factors,
19,Violence,Social factors,
21,Violence,Social factors,
15,Violence,Social factors,
15,Violence,Social factors,
20,Dissimulation of one's identity,Mental health,
4,Dissimulation of one's identity,Mental health,
20,Dissimulation of one's identity,Mental health,
20,Substance use,Social factors,
20,Substance use,Social factors,
20,Suicide attempts,Mental health,
21,Patriarchal pressures on masculinity,Normative pressure,2
19,Patriarchal pressures on masculinity,Normative pressure,2
21,Patriarchal pressures on masculinity,Normative pressure,2
13,IST,Physical health,
4,IST,Physical health,
5,IST,Physical health,
8,IST,Physical health,
11,IST,Physical health,
4,VIH,Physical health,
16,VIH,Physical health,
4,Cancers,Physical health,
10,Lack of knowledge in harm reduction,Physical health,
21,Lack of knowledge in harm reduction,Physical health,
7,Lack of knowledge in harm reduction,Physical health,
19,Lack of knowledge in harm reduction,Physical health,
6,Lack of knowledge in harm reduction,Physical health,
10,Lack of knowledge in harm reduction,Physical health,
6,Sexual risk behaviours,Physical health,
20,Sexual risk behaviours,Physical health,
6,Sexual risk behaviours,Physical health,
20,Sexual risk behaviours,Physical health,
22,Barriers to physical activity,Physical health,
11,Barriers to screening,Physical health,
4,Internalized homophobia,Mental health,
5,Deprivation,Social factors,
16,Ageism,Discrimination,2
22,Unemployment,Social factors,
